id,unclaimed
633,5000000000000000000
634,3000000000000000000
635,28000000000000000000
636,5000000000000000000
637,8000000000000000000
638,29000000000000000000
639,29000000000000000000
640,29000000000000000000
641,5000000000000000000
642,31000000000000000000
643,5000000000000000000
644,9000000000000000000
645,6000000000000000000
646,30000000000000000000
647,2000000000000000000
648,1000000000000000000
649,0
650,5000000000000000000
651,48000000000000000000
652,17000000000000000000
653,2000000000000000000
654,29000000000000000000
655,29000000000000000000
656,0
657,48000000000000000000
658,4000000000000000000
659,3000000000000000000
660,29000000000000000000
661,10000000000000000000
662,14000000000000000000
663,9000000000000000000
664,30000000000000000000
665,12000000000000000000
666,32000000000000000000
667,4000000000000000000
668,5000000000000000000
669,31000000000000000000
670,31000000000000000000
671,9000000000000000000
672,4000000000000000000
673,29000000000000000000
674,29000000000000000000
675,26000000000000000000
676,4000000000000000000
677,0
678,16000000000000000000
679,3000000000000000000
680,2000000000000000000
681,0
682,5000000000000000000
683,7000000000000000000
684,1000000000000000000
685,7000000000000000000
686,7000000000000000000
687,5000000000000000000
688,27000000000000000000
689,5000000000000000000
690,10000000000000000000
691,5000000000000000000
692,12000000000000000000
693,31000000000000000000
694,1000000000000000000
695,5000000000000000000
696,5000000000000000000
697,4000000000000000000
698,3000000000000000000
699,30000000000000000000
700,9000000000000000000
701,6000000000000000000
702,4000000000000000000
703,3000000000000000000
704,5000000000000000000
705,30000000000000000000
706,9000000000000000000
707,15000000000000000000
708,28000000000000000000
709,2000000000000000000
710,3000000000000000000
711,48000000000000000000
712,30000000000000000000
713,9000000000000000000
714,6000000000000000000
715,11000000000000000000
716,2000000000000000000
717,26000000000000000000
718,6000000000000000000
719,4000000000000000000
720,9000000000000000000
721,3000000000000000000
722,7000000000000000000
723,3000000000000000000
724,30000000000000000000
725,12000000000000000000
726,0
727,31000000000000000000
728,11000000000000000000
729,15000000000000000000
730,0
731,48000000000000000000
732,3000000000000000000
733,31000000000000000000
734,5000000000000000000
735,0
736,7000000000000000000
737,28000000000000000000
738,3000000000000000000
739,0
740,0
741,2000000000000000000
742,5000000000000000000
743,31000000000000000000
744,5000000000000000000
745,3000000000000000000
746,2000000000000000000
747,7000000000000000000
748,16000000000000000000
749,20000000000000000000
750,4000000000000000000
751,5000000000000000000
752,9000000000000000000
753,9000000000000000000
754,2000000000000000000
755,16000000000000000000
756,1000000000000000000
757,48000000000000000000
758,30000000000000000000
759,2000000000000000000
